train/cls_loss,train/dice_loss,train/total_loss,train/mAP@50,train/mAP@50-95,valid/cls_loss,valid/dice_loss,valid/total_loss,valid/mAP@50,valid/mAP@50-95
0.6041627526283264,0.38932693004608154,0.9934897422790527,0.603481113910675,0.1262751966714859,0.47832509875297546,0.3168925344944,0.7952178120613098,0.8130555748939514,0.26003608107566833
0.3468364477157593,0.21299296617507935,0.5598297119140625,0.8519797325134277,0.5291898846626282,0.1937708556652069,0.1135360598564148,0.30730682611465454,0.906534731388092,0.7948443293571472
0.15672844648361206,0.08395259827375412,0.24068094789981842,0.913979172706604,0.8544781804084778,0.10427942872047424,0.05463333800435066,0.15891270339488983,0.9386764168739319,0.9047825336456299
0.10519170016050339,0.05242326483130455,0.1576150357723236,0.9377728700637817,0.9121478796005249,0.08761851489543915,0.042822010815143585,0.13044047355651855,0.9465112090110779,0.9274048805236816
0.09317206591367722,0.04372834041714668,0.1369003802537918,0.9431514739990234,0.9250795841217041,0.08210355788469315,0.03855307027697563,0.12065663933753967,0.9493632316589355,0.9340702295303345
0.08784335851669312,0.040196798741817474,0.12804019451141357,0.9456696510314941,0.9294766187667847,0.0806473046541214,0.03651615232229233,0.11716341227293015,0.9508512020111084,0.9385993480682373
0.08548201620578766,0.03802619129419327,0.12350817024707794,0.947614848613739,0.9329844117164612,0.07735598832368851,0.034974392503499985,0.11233031004667282,0.9521800875663757,0.9392455220222473
0.08182861655950546,0.036170411854982376,0.11799896508455276,0.9495617747306824,0.9358049631118774,0.07394044101238251,0.03295394778251648,0.1068943589925766,0.9544552564620972,0.9416715502738953
0.08098059147596359,0.035100411623716354,0.11608101427555084,0.9502008557319641,0.9372894167900085,0.07245507091283798,0.03227729722857475,0.10473242402076721,0.9555622935295105,0.943210780620575
0.07744085788726807,0.03398295119404793,0.11142377555370331,0.9516507983207703,0.9390677809715271,0.07196810096502304,0.03148956969380379,0.10345770418643951,0.9564241766929626,0.9456708431243896
0.0769909992814064,0.03338360786437988,0.1103745773434639,0.9521818161010742,0.9398844242095947,0.0729372575879097,0.031675104051828384,0.10461235046386719,0.9552557468414307,0.9436387419700623
0.07717413455247879,0.033209800720214844,0.11038392782211304,0.9521937966346741,0.9400081038475037,0.07184325158596039,0.03080190159380436,0.102645143866539,0.9559045433998108,0.9461250901222229
0.07555300742387772,0.03241933137178421,0.10797231644392014,0.9532922506332397,0.9416098594665527,0.06809975951910019,0.03025820478796959,0.09835795313119888,0.9575977921485901,0.9454255104064941
0.07343146950006485,0.03145729377865791,0.10488871484994888,0.9546948671340942,0.9430511593818665,0.06959189474582672,0.029700446873903275,0.09929243475198746,0.9574737548828125,0.9483687877655029
0.07282666116952896,0.03133273497223854,0.1041593998670578,0.9546404480934143,0.9433631300926208,0.06745506078004837,0.029148681089282036,0.09660377353429794,0.9587300419807434,0.9485470652580261
0.07245540618896484,0.031061839312314987,0.10351721197366714,0.9550020098686218,0.9435816407203674,0.06772194802761078,0.02861611917614937,0.09633810073137283,0.9588642120361328,0.9488831758499146
0.0713961124420166,0.030285118147730827,0.10168120265007019,0.9559949040412903,0.945443868637085,0.06597775220870972,0.028334738686680794,0.09431249648332596,0.9600872993469238,0.9494602680206299
0.07402429729700089,0.03102685697376728,0.10505113005638123,0.9543331265449524,0.943595826625824,0.06731484085321426,0.028775034472346306,0.0960899069905281,0.9590161442756653,0.9497604966163635
0.07055846601724625,0.029926694929599762,0.10048514604568481,0.9564000368118286,0.945390522480011,0.066282257437706,0.028566479682922363,0.09484872221946716,0.9590733051300049,0.9476515054702759
0.06973166763782501,0.029743187129497528,0.09947489202022552,0.9566035866737366,0.9463009238243103,0.06382819265127182,0.02762051671743393,0.09144875407218933,0.9612712860107422,0.9525371789932251
0.06914250552654266,0.02937939576804638,0.09852190315723419,0.9570162296295166,0.9466762542724609,0.06445053219795227,0.02748241275548935,0.09193293750286102,0.9609122276306152,0.9512971043586731
0.06804082542657852,0.02906334213912487,0.09710410982370377,0.957639217376709,0.9470573663711548,0.06610415875911713,0.027730204164981842,0.09383439272642136,0.9595310688018799,0.9501197338104248
0.06735162436962128,0.0287056602537632,0.09605731070041656,0.9579793810844421,0.9480201601982117,0.06514770537614822,0.027834372594952583,0.09298212081193924,0.9598729610443115,0.9496134519577026
0.0667831227183342,0.02843502350151539,0.09521809965372086,0.9583845734596252,0.9485015273094177,0.0639289915561676,0.0269949771463871,0.09092394262552261,0.9613937735557556,0.9528878927230835
0.06897182017564774,0.028908513486385345,0.09788032621145248,0.9573156237602234,0.9476182460784912,0.06665345281362534,0.027820643037557602,0.09447409957647324,0.9591849446296692,0.9503298997879028
0.0672723725438118,0.028663117438554764,0.09593547135591507,0.9578609466552734,0.9477138519287109,0.06285487860441208,0.026739617809653282,0.08959447592496872,0.9615456461906433,0.9518322348594666
0.06776653230190277,0.028614087030291557,0.09638065099716187,0.9579269886016846,0.9481503367424011,0.06261526793241501,0.026453310623764992,0.08906863629817963,0.9616298079490662,0.9531501531600952
0.06608240306377411,0.028107639402151108,0.0941900685429573,0.9587462544441223,0.9486316442489624,0.06335959583520889,0.02647152543067932,0.08983109891414642,0.9615691304206848,0.952411949634552
0.06634099781513214,0.027800971642136574,0.09414196759462357,0.959056556224823,0.949492335319519,0.06347016245126724,0.026493366807699203,0.08996354788541794,0.9615397453308105,0.952668309211731
0.0661955177783966,0.028054160997271538,0.0942496806383133,0.9588088393211365,0.949195921421051,0.062314920127391815,0.02646322175860405,0.08877813071012497,0.9621139168739319,0.9524202346801758
0.06692054122686386,0.02820456586778164,0.09512509405612946,0.9583293199539185,0.9488403797149658,0.06384279578924179,0.02665322832763195,0.09049608558416367,0.9613294005393982,0.9520545601844788
0.06595195829868317,0.027878163382411003,0.09383011609315872,0.9588322043418884,0.9492234587669373,0.06435561180114746,0.02661188133060932,0.09096750617027283,0.9607867002487183,0.9532248377799988
0.06461480259895325,0.02748357318341732,0.09209839254617691,0.959632933139801,0.9497243165969849,0.062221769243478775,0.02627938613295555,0.08850120007991791,0.961924135684967,0.9531925320625305
0.06411073356866837,0.027325710281729698,0.09143639355897903,0.9597570300102234,0.9503700137138367,0.06129361316561699,0.025675678625702858,0.08696930855512619,0.9632568359375,0.9538079500198364
0.06501069664955139,0.027330394834280014,0.0923410952091217,0.9597759246826172,0.9503023624420166,0.06167646497488022,0.02607530727982521,0.08775177597999573,0.9623006582260132,0.9531970024108887
0.06367069482803345,0.026923224329948425,0.09059391915798187,0.960277795791626,0.9512527585029602,0.06155728921294212,0.02588886022567749,0.0874461829662323,0.9625508189201355,0.9529200792312622
0.06334952265024185,0.026994096115231514,0.09034360200166702,0.9604504704475403,0.9509641528129578,0.06180665269494057,0.025603855028748512,0.08741050213575363,0.9624720811843872,0.9540517926216125
0.06457578390836716,0.02717033214867115,0.09174615144729614,0.9596292972564697,0.9505199790000916,0.06255730241537094,0.025784341618418694,0.08834166824817657,0.9623410701751709,0.9531431794166565
0.06340637058019638,0.02677745558321476,0.09018389135599136,0.9604693651199341,0.9513916969299316,0.06316208094358444,0.026404591277241707,0.0895666778087616,0.9614850282669067,0.9520034193992615
0.06460496783256531,0.026796674355864525,0.09140163660049438,0.9601749777793884,0.9511508345603943,0.06116928160190582,0.025652602314949036,0.08682191371917725,0.9627858996391296,0.9536312818527222
0.06524612754583359,0.02718418277800083,0.09243035316467285,0.9597369432449341,0.9507415890693665,0.06164849177002907,0.02575586549937725,0.08740444481372833,0.9626920223236084,0.953952431678772
0.06362982094287872,0.026770194992423058,0.09040001779794693,0.9605358242988586,0.9514608979225159,0.060758017003536224,0.025523627176880836,0.08628170192241669,0.9633733034133911,0.9548007249832153
0.06335089355707169,0.026815934106707573,0.09016682207584381,0.9604021310806274,0.9512342810630798,0.05996756628155708,0.02512626349925995,0.08509386330842972,0.9634944200515747,0.9542659521102905
0.06307416409254074,0.026657242327928543,0.0897313803434372,0.9605867862701416,0.9515643119812012,0.060582567006349564,0.024896290153265,0.08547888696193695,0.9634985327720642,0.9564592242240906
0.0611150749027729,0.02615293301641941,0.08726802468299866,0.9615886807441711,0.9523187875747681,0.06098895147442818,0.025339173153042793,0.08632815629243851,0.9630129933357239,0.9537594318389893
0.0631839781999588,0.026586147025227547,0.08977010101079941,0.9607201218605042,0.9517766833305359,0.06284024566411972,0.02628127485513687,0.089121513068676,0.9611237645149231,0.9516192078590393
